producers,consumers,throughput
10,10,0.000796
20,10,0.001193
30,10,0.003168
40,10,0.003033
50,10,0.003474
60,10,0.005186
70,10,0.004837
80,10,0.005762
90,10,0.006052
100,10,0.005756
110,10,0.005866
120,10,0.002158
130,10,0.002225
140,10,0.002861
150,10,0.002411
160,10,0.002510
170,10,0.002584
180,10,0.002774
190,10,0.002841
200,10,0.003407
210,10,0.006961
220,10,0.004043
230,10,0.003206
240,10,0.007354
250,10,0.003396
260,10,0.003480
270,10,0.003912
280,10,0.007236
290,10,0.004308
300,10,0.007617
